"title_year","currency","movie_title"
"2011","USA","thechangeup"
"1999","USA","manonthemoon"
"1995","USA","casino"
"2010","USA","frompariswithlove"
"2003","USA","bulletproofmonk"
"2000","USA","memyself&irene"
"2006","USA","barnyard"
"2006","USA","deckthehalls"
"2009","USA","thetwilightsaganewmoon"
"2001","USA","shrek"
"2011","USA","theadjustmentbureau"
"1991","USA","robinhoodprinceofthieves"
"1996","USA","jerrymaguire"
"2012","USA","ted"
"1997","USA","asgoodasitgets"
"1998","USA","patchadams"
"2013","USA","anchorman2thelegendcontinues"
"2002","USA","mrdeeds"
"2011","USA","super8"
"2000","USA","erinbrockovich"
"2003","USA","howtoloseaguyin10days"
"2014","USA","22jumpstreet"
"1994","USA","interviewwiththevampirethevampirechronicles"
"2008","USA","yesman"
"2016","USA","centralintelligence"
"1998","USA","stepmom"
"2015","USA","daddyshome"
"2014","USA","intothewoods"
"2006","USA","insideman"
"1999","USA","payback"
"1995","USA","congo"
"2011","USA","weboughtazoo"
"2009","USA","knowing"
"2006","USA","failuretolaunch"
"2005","USA","theringtwo"
"2011","USA","crazystupidlove"
"2004","USA","garfield"
"2004","USA","christmaswiththekranks"
"2011","USA","moneyball"
"1995","USA","outbreak"
"2014","USA","nonstop"
"2009","USA","racetowitchmountain"
"2005","USA","vforvendetta"
"2003","USA","shanghaiknights"
NA,"USA","unforgotten"
"2006","USA","curiousgeorge"
"2005","USA","herbiefullyloaded"
"2001","USA","dontsayaword"
"2013","USA","hansel&gretelwitchhunters"
"2002","USA","unfaithful"
"2011","USA","iamnumberfour"
"2005","USA","syriana"
"2016","USA","13hours"
"2014","USA","thebookoflife"
"2006","USA","firewall"
"1997","USA","absolutepower"
"1997","USA","gijane"
"1997","USA","thegame"
"2006","USA","silenthill"
"2000","USA","thereplacements"
"2012","USA","americanreunion"
"1998","USA","thenegotiator"
"2014","USA","intothestorm"
"1994","USA","beverlyhillscopiii"
"1990","USA","gremlins2thenewbatch"
"2014","USA","thejudge"
"1997","USA","thepeacemaker"
"2004","USA","residentevilapocalypse"
"2004","USA","bridgetjonestheedgeofreason"
"2003","USA","outoftime"
"1994","USA","ondeadlyground"
"2005","USA","theadventuresofsharkboyandlavagirl3d"
"2000","USA","thebeach"
"2004","USA","raisinghelen"
"2009","USA","ninjaassassin"
"1999","USA","forloveofthegame"
NA,"USA","atouchoffrost"
"1996","USA","striptease"
"2010","USA","marmaduke"
"2010","USA","hereafter"
"2002","USA","murderbynumbers"
"1995","USA","assassins"
"2007","USA","hannibalrising"
"1999","USA","thestoryofus"
"2013","USA","thehost"
"2003","USA","basic"
"2002","USA","bloodwork"
"2009","USA","theinternational"
"1996","USA","escapefromla"
NA,"USA","twisted"
"1999","USA","theirongiant"
"2004","USA","thelifeaquaticwithstevezissou"
"2016","USA","freestateofjones"
"2003","USA","thelifeofdavidgale"
"2005","USA","manofthehouse"
"2015","USA","runallnight"
"2007","GBR","easternpromises"
"2005","USA","intotheblue"
"1999","FRF","themessengerthestoryofjoanofarc"
"2011","USA","yourhighness"
"2011","USA","dreamhouse"
"1997","USA","madcity"
"1994","USA","babysdayout"
"1995","USA","thescarletletter"
"2010","USA","fairgame"
NA,"USA","defiance"
"2005","USA","domino"
"1995","USA","jade"
"2009","USA","gamer"
"2013","USA","beautifulcreatures"
"2002","USA","deathtosmoochy"
"2016","USA","zoolander2"
"2004","USA","thebigbounce"
"2000","USA","whatplanetareyoufrom?"
"2011","USA","driveangry"
"2009","USA","streetfighterthelegendofchunli"
"2001","USA","theone"
NA,"USA","outlander"
"1990","USA","theadventuresoffordfairlane"
"2009","USA","pirateradio"
"2000","USA","traffic"
"1989","USA","indianajonesandthelastcrusade"
"2012","USA","annakarenina"
"2015","USA","chappie"
"1999","USA","thebonecollector"
"2002","USA","panicroom"
"2006","USA","thetoothfairy"
"1999","USA","threekings"
"2015","USA","child44"
"2001","USA","ratrace"
"2001","USA","kpax"
"2001","USA","kate&leopold"
"2000","USA","bedazzled"
"1984","USA","thecottonclub"
"2007","USA","310toyuma"
"2014","USA","taken3"
"1998","USA","outofsight"
"1996","USA","thecableguy"
"1998","USA","earth"
"1990","USA","dicktracy"
"1999","USA","thethomascrownaffair"
"2001","USA","ridingincarswithboys"
"1982","USA","firstblood"
"1972","RUR","solaris"
"2006","USA","happilyneverafter"
"1996","USA","maryreilly"
"1997","USA","mybestfriendswedding"
"2001","USA","americassweethearts"
"2002","USA","insomnia"
"1996","USA","startrekfirstcontact"
"2010","USA","jonahhex"
"1996","USA","courageunderfire"
"1997","USA","liarliar"
"2016","USA","theinfiltrator"
"1981","USA","inchon"
"1994","USA","theflintstones"
"2012","USA","taken2"
"2003","USA","scarymovie3"
"2000","USA","misscongeniality"
"2008","USA","journeytothecenteroftheearth"
"2004","USA","theprincessdiaries2royalengagement"
"1993","USA","thepelicanbrief"
"1994","USA","theclient"
"2007","USA","thebucketlist"
"1992","USA","patriotgames"
"2005","USA","monsterinlaw"
"2013","USA","prisoners"
"2001","USA","trainingday"
"1999","USA","galaxyquest"
"2001","USA","scarymovie2"
"2011","USA","themuppets"
"1998","USA","blade"
"2005","USA","coachcarter"
"2002","USA","changinglanes"
"1997","USA","anaconda"
"2000","USA","coyoteugly"
"2003","USA","loveactually"
"1998","USA","abugslife"
"2001","USA","fromhell"
"1994","USA","thespecialist"
"1996","USA","tincup"
"1968","USA","yoursmineandours"
"2005","USA","kicking&screaming"
"2005","USA","thehitchhikersguidetothegalaxy"
"2004","USA","fatalbert"
"2007","USA","residentevilextinction"
"2014","USA","blended"
"2006","USA","lastholiday"
"1994","USA","theriverwild"
"1995","USA","theindianinthecupboard"
"2012","USA","savages"
"2004","USA","cellular"
"2003","USA","johnnyenglish"
"2006","USA","theantbully"
"1984","USA","dune"
"2007","USA","acrosstheuniverse"
"2008","USA","revolutionaryroad"
"2006","USA","16blocks"
"2008","USA","babylonad"
"1996","USA","theglimmerman"
"1996","USA","multiplicity"
"2009","USA","aliensintheattic"
"2001","USA","thepledge"
"2005","USA","theproducers"
"1996","USA","thephantom"
"2000","USA","alltheprettyhorses"
"1995","USA","nixon"
"2010","USA","theghostwriter"
"1998","USA","deeprising"
"2008","USA","miracleatstanna"
"2006","USA","curseofthegoldenflower"
"2008","USA","bangkokdangerous"
"2002","USA","bigtrouble"
"2007","USA","loveinthetimeofcholera"
NA,"USA","thereturned"
"1997","USA","shadowconspiracy"
"2011","USA","johnnyenglishreborn"
"2012","USA","foodfight!"
"2012","USA","argo"
"1993","USA","thefugitive"
"2010","USA","thebountyhunter"
"1996","USA","sleepers"
"1985","USA","rambofirstbloodpartii"
"1996","USA","thejuror"
"1940","USA","pinocchio"
"1980","USA","heavensgate"
"2006","USA","underworldevolution"
"2015","USA","victorfrankenstein"
"2000","USA","findingforrester"
"2000","USA","28days"
"2005","USA","unleashed"
"2002","USA","thesweetestthing"
"1993","USA","thefirm"
"2010","USA","charliestcloud"
"2011","USA","themechanic"
"2012","USA","21jumpstreet"
"1999","USA","nottinghill"
"2000","USA","chickenrun"
"2004","USA","alongcamepolly"
"1992","USA","boomerang"
"2013","USA","theheat"
"1963","USA","cleopatra"
"2012","USA","herecomestheboom"
"2002","USA","highcrimes"
"1996","USA","themirrorhastwofaces"
"2002","USA","themothmanprophecies"
"2009","USA","brxc3xbcno"
"1989","USA","licencetokill"
"2011","USA","redridinghood"
"2001","USA","15minutes"
"1993","USA","supermariobros"
"2005","USA","lordofwar"
"2002","USA","hero"
"2012","USA","oneforthemoney"
"2014","USA","theinterview"
"2010","USA","thewarriorsway"
NA,"USA","mchalesnavy"
"2009","€","micmacs"
"2002","USA","8mile"
"2015","USA","animalkingdomletsgoape"
"2001","USA","aknightstale"
"2003","USA","themedallion"
"1999","USA","thesixthsense"
"2012","USA","manonaledge"
"2011","USA","thebigyear"
"1984","USA","thekaratekid"
"2013","USA","americanhustle"
"2009","USA","theproposal"
"1999","USA","doublejeopardy"
"1989","USA","backtothefuturepartii"
"2014","USA","lucy"
"2015","USA","fiftyshadesofgrey"
"2003","USA","spykids3dgameover"
"1996","USA","atimetokill"
"2003","USA","cheaperbythedozen"
"2013","USA","lonesurvivor"
"1992","USA","aleagueoftheirown"
"2016","USA","theconjuring2"
"2010","USA","thesocialnetwork"
"2009","USA","hesjustnotthatintoyou"
"2006","USA","scarymovie4"
"2000","USA","scream3"
"1990","USA","backtothefuturepartiii"
"2015","USA","gethard"
"1992","USA","bramstokersdracula"
"2009","USA","julie&julia"
"2013","USA","42"
"1999","USA","thetalentedmrripley"
"2014","USA","dumbanddumberto"
"2006","USA","eightbelow"
"2015","USA","theintern"
"2016","USA","ridealong2"
"1992","USA","thelastofthemohicans"
"2004","USA","ray"
"2005","USA","sincity"
"2008","USA","vantagepoint"
"2009","USA","iloveyouman"
"2001","USA","shallowhal"
"1991","USA","jfk"
"2006","USA","bigmommashouse2"
"2001","USA","themexican"
"2009","USA","17again"
"2014","USA","theotherwoman"
"2009","USA","thefinaldestination"
"2015","USA","bridgeofspies"
"2001","USA","behindenemylines"
"2010","USA","gethimtothegreek"
"2004","USA","shallwedance"
"1998","USA","smallsoldiers"
"1997","USA","spawn"
"2002","USA","thecountofmontecristo"
"2011","USA","thelincolnlawyer"
"2011","USA","unknown"
"2006","USA","theprestige"
"2014","USA","horriblebosses2"
"2013","USA","escapefromplanetearth"
"2006","USA","apocalypto"
"1987","USA","thelivingdaylights"
"2010","USA","predators"
"1986","USA","legaleagles"
"2004","USA","secretwindow"
"2006","USA","thelakehouse"
"2005","USA","theskeletonkey"
"2012","USA","theoddlifeoftimothygreen"
"2008","USA","madeofhonor"
"2014","USA","jerseyboys"
"1997","USA","therainmaker"
"2003","USA","gothika"
"1997","USA","amistad"
"1992","USA","medicineman"
"2007","USA","aliensvspredatorrequiem"
"1994","USA","rixc2xa2hierixc2xa2h"
"2000","USA","autumninnewyork"
"2007","USA","musicandlyrics"
"2011","USA","paul"
"2012","USA","theguilttrip"
"2011","USA","scream4"
"1999","USA","8mm"
"1991","USA","thedoors"
"2014","USA","sextape"
"2000","USA","hangingup"
"2011","USA","finaldestination5"
"1999","USA","mickeyblueeyes"
"2000","USA","payitforward"
"2005","USA","feverpitch"
NA,"USA","arthur"
"2008","USA","drillbittaylor"
"2014","USA","amillionwaystodieinthewest"
"1994","USA","theshadow"
"2011","USA","extremelyloud&incrediblyclose"
"2010","USA","morningglory"
"2005","USA","getrichordietryin"
"2000","USA","theartofwar"
"2005","USA","rent"
"2000","USA","blessthechild"
"1999","USA","theoutoftowners"
"1996","USA","theislandofdrmoreau"
"2001","USA","themusketeer"
"2008","USA","theotherboleyngirl"
"2001","USA","sweetnovember"
"2007","USA","thereaping"
"1973","USA","meanstreets"
"1994","USA","renaissanceman"
"2011","USA","colombiana"
"1998","USA","themagicswordquestforcamelot"
"2002","USA","citybythesea"
"1999","USA","atfirstsight"
"2004","USA","torque"
"1996","USA","cityhall"
"1995","USA","showgirls"
"2006","USA","marieantoinette"
"1995","USA","kissofdeath"
"2000","USA","getcarter"
"2012","USA","theimpossible"
"1987","USA","ishtar"
"2009","USA","fantasticmrfox"
"2002","USA","lifeorsomethinglikeit"
"1992","USA","memoirsofaninvisibleman"
"2001","FRF","amxc3xa9lie"
"2004","USA","newyorkminute"
"2004","USA","alfie"
"2012","USA","bigmiracle"
"1999","USA","thedeependoftheocean"
"2002","USA","feardotcom"
"2009","USA","cirquedufreakthevampiresassistant"
"2003","USA","duplex"
"2008","USA","soulmen"
"1980","USA","raisethetitanic"
"1999","USA","universalsoldierthereturn"
"2009","USA","pandorum"
"2001","USA","impostor"
"2002","USA","extremeops"
"2001","USA","justvisiting"
"2007","GBR","sunshine"
"2012","USA","athousandwords"
"2008","USA","delgo"
"2015","USA","thegunman"
"2006","USA","alexrideroperationstormbreaker"
"2007","USA","disturbia"
"1995","USA","hackers"
"2007","USA","thehuntingparty"
"1994","USA","thehudsuckerproxy"
"2007","USA","thewarlords"
"2005","USA","nomadthewarrior"
"2013","USA","snowpiercer"
"2011","€","amonsterinparis"
"2004","USA","thelastshot"
"1994","USA","thecrow"
"2015","USA","baahubalithebeginning"
"2009","USA","thetimetravelerswife"
"2007","USA","becauseisaidso"
"2012","USA","frankenweenie"
"2005","USA","serenity"
"2004","USA","againsttheropes"
"1983","USA","supermaniii"
"2013","USA","grudgematch"
"2008","CNY","redcliff"
"2002","USA","sweethomealabama"
"2009","USA","theuglytruth"
"1996","USA","sgtbilko"
"2002","USA","spykids2islandoflostdreams"
"1994","USA","startrekgenerations"
"2013","USA","thegrandmaster"
"2011","USA","waterforelephants"
NA,"USA","3rdrockfromthesun"
"2014","USA","dragonnestwarriorsdawn"
"1999","USA","thehurricane"
"2002","USA","enough"
"2001","USA","heartbreakers"
"2015","USA","paulblartmallcop2"
"2001","USA","angeleyes"
"2001","USA","joesomebody"
"1999","USA","theninthgate"
"1996","USA","extrememeasures"
"2001","USA","rockstar"
"2009","USA","precious"
"1996","USA","whitesquall"
"1982","USA","thething"
"2013","USA","riddick"
"1997","USA","switchback"
"2001","USA","texasrangers"
"2008","USA","cityofember"
"2012","USA","themaster"
"2007","USA","virginterritory"
"2008","USA","theexpress"
"2016","USA","the5thwave"
"2015","USA","creed"
"2010","USA","thetown"
"2012","USA","whattoexpectwhenyoureexpecting"
"2008","USA","burnafterreading"
"2008","USA","nimsisland"
"2013","USA","rush"
"1999","USA","magnolia"
"2010","USA","copout"
"2016","USA","howtobesingle"
"2011","USA","dolphintale"
"2008","USA","twilight"
"2002","USA","johnq"
"1999","USA","bluestreak"
"2013","USA","werethemillers"
"2009","USA","obitaemyyostrov"
"1997","USA","breakdown"
"1983","USA","neversayneveragain"
"2010","USA","hottubtimemachine"
"2014","USA","dolphintale2"
"2000","USA","reindeergames"
"2003","USA","amanapart"
"2015","USA","aloha"
"1996","USA","ghostsofmississippi"
"1999","USA","snowfallingoncedars"
"2011","USA","therite"
"1997","USA","gattaca"
"2000","USA","isntshegreat"
"2008","USA","spacechimps"
"2003","USA","headofstate"
"2009","USA","thehangover"
"2015","USA","ipman3"
"1999","USA","austinpowersthespywhoshaggedme"
"1989","USA","batman"
"2011","USA","therebedragons"
"1992","USA","lethalweapon3"
"2009","USA","theblindside"
NA,"USA","rushhour"
"2001","USA","spykids"
"2011","USA","horriblebosses"
"2010","USA","truegrit"
"2006","USA","thedevilwearsprada"
"1979","USA","startrekthemotionpicture"
"2013","USA","identitythief"
"1991","USA","capefear"
"2008","USA","21"
"2015","USA","trainwreck"
"2005","USA","guesswho"
"1996","USA","theenglishpatient"
"1997","USA","laconfidential"
"2005","USA","skyhigh"
"1997","USA","in&out"
"1995","USA","species"
"1984","USA","anightmareonelmstreet"
"2000","USA","thecell"
"1998","USA","themanintheironmask"
"2010","USA","secretariat"
"2007","USA","tmnt"
"2003","USA","radio"
"2011","USA","friendswithbenefits"
"2016","USA","neighbors2sororityrising"
"2013","USA","savingmrbanks"
"1992","USA","malcolmx"
"2012","USA","thisis40"
"2009","USA","olddogs"
"2009","USA","underworldriseofthelycans"
"2007","USA","licensetowed"
"2006","USA","thebenchwarmers"
"2005","USA","mustlovedogs"
"1997","USA","donniebrasco"
"2002","USA","residentevil"
"1982","USA","poltergeist"
"2004","USA","theladykillers"
"2008","USA","maxpayne"
"2011","USA","intime"
"2010","USA","thebackupplan"
"2011","USA","somethingborrowed"
NA,"USA","hitthefloor"
"2001","USA","blackknight"
"1976","USA","thebadnewsbears"
"1994","USA","streetfighter"
"2002","USA","thepianist"
"2006","USA","thenativitystory"
"2005","USA","houseofwax"
"2004","USA","closer"
"2011","USA","jedgar"
"2008","USA","mirrors"
"2002","USA","queenofthedamned"
"1990","USA","predator2"
"2008","USA","untraceable"
"1999","USA","blastfromthepast"
"1980","USA","flashgordon"
"2004","USA","jerseygirl"
"2012","USA","alexcross"
"1997","USA","midnightinthegardenofgoodandevil"
"2015","USA","heist"
"2010","USA","nannymcpheereturns"
"1992","USA","hoffa"
"2008","USA","thexfilesiwanttobelieve"
"2004","USA","ellaenchanted"
"2015","USA","concussion"
"2011","USA","abduction"
"2005","USA","valiant"
"2000","USA","wonderboys"
"2008","USA","superheromovie"
"2013","USA","brokencity"
"2005","USA","cursed"
"2012","USA","premiumrush"
"2015","USA","hotpursuit"
"2002","USA","thefourfeathers"
"2013","USA","parker"
"2004","USA","wimbledon"
"2010","USA","furryvengeance"
"2012","AUD","bait"
"1983","USA","krull"
"2007","USA","lionsforlambs"
"1991","USA","flightoftheintruder"
"2007","USA","walkhardthedeweycoxstory"
"2001","USA","theshippingnews"
"2001","USA","americanoutlaws"
"2009","USA","theyoungvictoria"
"2009","USA","whiteout"
"2011","USA","thetreeoflife"
"1998","USA","knockoff"
"2014","USA","sabotage"
"2003","USA","theorder"
"2008","USA","punisherwarzone"
"2006","USA","zoom"
"2015","USA","thewalk"
"1997","USA","warriorsofvirtue"
"2006","USA","agoodyear"
NA,"USA","luther"
"1992","USA","radioflyer"
"1993","USA","bloodinbloodout"
"1997","USA","smillassenseofsnow"
"2002","USA","femmefatale"
"1980","USA","lionofthedesert"
"1995","USA","thehorsemanontheroof"
"1999","USA","ridewiththedevil"
"2010","USA","biutiful"
"2006","€","bandidas"
"2009","USA","blackwatertransit"
"2014","USA","themazerunner"
"2015","USA","unfinishedbusiness"
"1993","USA","theageofinnocence"
"2006","USA","thefountain"
"1999","USA","chillfactor"
"2012","USA","stolen"
"2008","USA","ponyo"
"2015","USA","thelongestride"
"1999","USA","theastronautswife"
"2000","USA","idreamedofafrica"
"2012","USA","playingforkeeps"
"2013","USA","mandelalongwalktofreedom"
"1981","USA","reds"
"1992","USA","afewgoodmen"
"2001","USA","exitwounds"
"2000","USA","bigmommashouse"
"2013","USA","thunderandthehouseofmagic"
"2011","USA","thedarkesthour"
"2012","USA","stepuprevolution"
"2006","USA","snakesonaplane"
"2000","USA","thewatcher"
"2004","USA","thepunisher"
"2005","USA","goal!thedreambegins"
"2012","USA","safe"
"1999","USA","pushingtin"
"1983","USA","starwarsepisodevireturnofthejedi"
"2008","USA","doomsday"
"2008","USA","thereader"
"2012","USA","wanderlust"
"2003","USA","elf"
"1996","USA","phenomenon"
"2002","USA","snowdogs"
"1988","USA","scrooged"
"2006","USA","nacholibre"
"2011","USA","bridesmaids"
"2013","USA","thisistheend"
"1999","USA","stigmata"
"2000","USA","menofhonor"
"2010","USA","takers"
"2013","USA","thebigwedding"
"2011","USA","bigmommaslikefatherlikeson"
"2011","USA","sourcecode"
"1993","USA","alive"
"2007","USA","thenumber23"
"2013","USA","theyoungandprodigioustsspivet"
"1979","USA","1941"
"2005","USA","dreamerinspiredbyatruestory"
"2005","USA","ahistoryofviolence"
"2005","USA","transporter2"
"1995","USA","thequickandthedead"
"2004","USA","lawsofattraction"
"1999","USA","bringingoutthedead"
"2010","USA","repomen"
"2007","USA","dragonwarsdwar"
"1996","USA","bogus"
"2013","USA","theincredibleburtwonderstone"
"1997","USA","catsdontdance"
"1999","USA","cradlewillrock"
"2006","USA","thegoodgerman"
"2004","USA","georgeandthedragon"
"1979","USA","apocalypsenow"
"2010","USA","goingthedistance"
"1995","USA","mrhollandsopus"
"2016","USA","criminal"
"1985","USA","outofafrica"
"2012","USA","flight"
"1979","USA","moonraker"
"2014","USA","thegrandbudapesthotel"
"2001","USA","heartsinatlantis"
"1990","USA","arachnophobia"
"2000","USA","frequency"
"2015","USA","vacation"
"1995","USA","getshorty"
"2002","USA","chicago"
"1999","USA","bigdaddy"
"2001","USA","americanpie2"
"1995","USA","toystory"
"1994","USA","speed"
"2012","USA","thevow"
"2010","USA","extraordinarymeasures"
"2000","USA","rememberthetitans"
"1990","USA","thehuntforredoctober"
"2013","USA","leedanielsthebutler"
"2004","USA","dodgeballatrueunderdogstory"
"1991","USA","theaddamsfamily"
"1995","USA","aceventurawhennaturecalls"
"2001","USA","theprincessdiaries"
"1996","USA","thefirstwivesclub"
"1995","USA","se7en"
"2009","USA","district9"
"2004","USA","thespongebobsquarepantsmovie"
"2003","USA","mysticriver"
"2004","USA","milliondollarbaby"
"1999","USA","analyzethis"
"2004","USA","thenotebook"
"2008","USA","27dresses"
"2009","USA","hannahmontanathemovie"
"2000","USA","rugratsinparisthemovie"
"1991","USA","theprinceoftides"
"1994","USA","legendsofthefall"
"2009","USA","upintheair"
"2002","USA","aboutschmidt"
"2013","USA","warmbodies"
"2012","USA","looper"
"2001","USA","downtoearth"
"1995","USA","babe"
"2012","USA","hopesprings"
"2008","USA","forgettingsarahmarshall"
NA,"USA","fridaynightlights"
"2005","USA","fourbrothers"
"2008","USA","babymama"
"1998","USA","hopefloats"
"2009","USA","bridewars"
"2004","USA","withoutapaddle"
"2004","USA","13goingon30"
"2011","USA","midnightinparis"
"2014","USA","thenutjob"
"2001","USA","blow"
"1999","USA","messageinabottle"
"1989","USA","startrekvthefinalfrontier"
"2002","USA","likemike"
"1994","USA","nakedgun331/3thefinalinsult"
"1985","USA","aviewtoakill"
"2005","USA","thecurseofthewererabbit"
"2007","USA","psiloveyou"
"2005","USA","racingstripes"
"2007","USA","atonement"
"2010","USA","letterstojuliet"
"1989","USA","blackrain"
"2012","USA","thethreestooges"
"2005","USA","corpsebride"
"2006","USA","gloryroad"
"2015","USA","sicario"
"2015","USA","southpaw"
"2009","USA","dragmetohell"
"2015","USA","theageofadaline"
"2003","USA","secondhandlions"
"2010","USA","stepup3d"
"2002","USA","bluecrush"
"2006","USA","strangerthanfiction"
"2007","USA","30daysofnight"
"2012","USA","thecabininthewoods"
"2008","USA","meetthespartans"
"1988","USA","midnightrun"
"1987","USA","therunningman"
"1986","USA","littleshopofhorrors"
"2011","USA","hanna"
NA,"USA","thefamily"
"1997","USA","mortalkombatannihilation"
"2011","USA","larrycrowne"
"2013","USA","carrie"
"2006","USA","takethelead"
NA,"USA","entourage"
"2006","USA","gridirongang"
"2001","USA","whatstheworstthatcouldhappen?"
"2009","USA","9"
"2013","USA","sideeffects"
"2004","USA","theprinceandme"
"2011","USA","winniethepooh"
"2003","USA","dumbanddumbererwhenharrymetlloyd"
"1998","USA","bulworth"
"2014","USA","getonup"
"1998","USA","onetruething"
"1995","USA","virtuosity"
"2006","USA","mysuperexgirlfriend"
"2014","USA","deliverusfromevil"
"2011","USA","sanctum"
"2004","USA","littleblackbook"
"2012","USA","thefiveyearengagement"
"2004","USA","mr3000"
"2010","USA","thenextthreedays"
"2006","USA","ultraviolet"
"2005","USA","assaultonprecinct13"
"1998","USA","thereplacementkillers"
"1996","USA","fled"
"2002","USA","eightleggedfreaks"
"2010","USA","love&otherdrugs"
"2007","USA","88minutes"
"2005","USA","northcountry"
"2004","USA","thewholetenyards"
"2009","USA","splice"
"1986","USA","howardtheduck"
"2008","USA","prideandglory"
"2005","USA","thecave"
"2003","USA","alex&emma"
"2004","USA","wickerpark"
"2011","USA","frightnight"
"2005","USA","thenewworld"
"1999","USA","wingcommander"
"1999","USA","indreams"
"2009","USA","dragonballevolution"
"2013","USA","thelaststand"
"2004","USA","godsend"
"2004","USA","chasingliberty"
"2011","USA","hoodwinkedtoo!hoodvsevil"
"2005","USA","anunfinishedlife"
"2009","USA","theimaginariumofdoctorparnassus"
"2010","USA","barneysversion"
NA,"USA","trapped"
"2013","USA","runnerrunner"
"2001","USA","antitrust"
"1989","USA","glory"
"1984","USA","onceuponatimeinamerica"
"2013","USA","deadmandown"
"2004","USA","themerchantofvenice"
"2002","USA","thegoodthief"
"2005","USA","supercross"
"2006","USA","misspotter"
"2005","HKD","thepromise"
"2006","USA","doadeadoralive"
"2007","USA","theassassinationofjessejamesbythecowardrobertford"
"2011","USA","1911"
"2009","USA","littlenicholas"
"2015","USA","wildcard"
"2011","USA","machinegunpreacher"
"2010","USA","animalsunited"
"2007","USA","thecoloroffreedom"
"2014","€","unitedpassions"
"2014","USA","graceofmonaco"
"2015","USA","awarriorstail"
"2002","USA","ripleysgame"
"2016","USA","sausageparty"
"2015","USA","pitchperfect2"
"2005","USA","walktheline"
NA,"USA","12monkeys"
"2000","USA","keepingthefaith"
"1997","USA","theborrowers"
"2008","USA","frost/nixon"
"2002","USA","confessionsofadangerousmind"
"2002","USA","servingsara"
"2016","USA","theboss"
"1987","USA","cryfreedom"
"1999","USA","mumford"
"2004","USA","seedofchucky"
"2005","USA","thejacket"
"1992","USA","aladdin"
"2015","USA","straightouttacompton"
"1984","USA","indianajonesandthetempleofdoom"
"1998","USA","therugratsmovie"
"2001","USA","alongcameaspider"
"2016","USA","florencefosterjenkins"
"2003","USA","onceuponatimeinmexico"
"1988","USA","diehard"
"2008","USA","rolemodels"
"2015","USA","thebigshort"
"2009","USA","takingwoodstock"
"2004","USA","miracle"
"2004","USA","dawnofthedead"
"2001","USA","theweddingplanner"
"2013","USA","harlockspacepirate"
"2001","USA","theroyaltenenbaums"
"2003","USA","identity"
"2013","USA","lastvegas"
"1981","USA","foryoureyesonly"
"2001","USA","serendipity"
"1994","USA","timecop"
"2001","USA","zoolander"
"2013","USA","safehaven"
"1993","USA","hocuspocus"
"2007","USA","noreservations"
"2010","USA","kickass"
"2011","USA","30minutesorless"
"2000","USA","dracula2000"
"2014","USA","alexanderandtheterriblehorriblenogoodverybadday"
"2005","USA","pride&prejudice"
"1982","USA","bladerunner"
"1995","USA","robroy"
"2014","USA","3daystokill"
"2007","USA","weownthenight"
"2000","USA","lostsouls"
"2001","FRF","wingedmigration"
"2006","USA","justmyluck"
"1999","USA","mysteryalaska"
"2010","USA","thespynextdoor"
"1997","USA","asimplewish"
"2001","USA","ghostsofmars"
"2015","USA","ourbrandiscrisis"
"2016","USA","prideandprejudiceandzombies"
"1997","USA","kundun"
"2008","USA","howtolosefriends&alienatepeople"
"2013","USA","kickass2"
"2006","€","captainalatristethespanishmusketeer"
"2014","USA","brickmansions"
"1983","USA","octopussy"
"2007","USA","knockedup"
"2009","USA","mysisterskeeper"
"2008","USA","welcomehomeroscoejenkins"
"1984","USA","apassagetoindia"
"2006","USA","notesonascandal"
"2007","USA","rendition"
NA,"USA","limitless"
"1991","USA","startrekvitheundiscoveredcountry"
"2002","USA","divinesecretsoftheyayasisterhood"
"1997","USA","kissthegirls"
"1980","USA","thebluesbrothers"
"2008","USA","thesisterhoodofthetravelingpants2"
"2012","USA","joyfulnoise"
"2002","USA","aboutaboy"
"1999","USA","lakeplacid"
"2006","USA","luckynumberslevin"
"1983","USA","therightstuff"
"2011","USA","anonymous"
"1984","USA","theneverendingstory"
"1998","USA","darkcity"
"2008","GBR","theduchess"
NA,"USA","thehoneymooners"
"1985","USA","returntooz"
"1998","USA","thenewtonboys"
"2009","USA","case39"
"2004","USA","suspectzero"
"2007","USA","martianchild"
"2011","USA","spykidsallthetimeintheworldin4d"
"2016","USA","moneymonster"
"2001","USA","formula51"
"1999","USA","flawless"
"2004","USA","mindhunters"
"2008","USA","whatjusthappened"
"2003","USA","thestatement"
"2006","USA","themagicflute"
"2009","USA","paulblartmallcop"
"2003","USA","freakyfriday"
"2005","USA","the40yearoldvirgin"
"1998","USA","shakespeareinlove"
"2014","USA","awalkamongthetombstones"
"1990","USA","kindergartencop"
"2008","USA","pineappleexpress"
"1998","USA","everafteracinderellastory"
"2003","USA","openrange"
"1990","USA","flatliners"
NA,"USA","itsalwayssunnyinphiladelphia"
"1977","USA","abridgetoofar"
"2005","USA","redeye"
"2003","USA","finaldestination2"
"2000","USA","obrotherwhereartthou?"
"2010","USA","legion"
"2013","USA","pain&gain"
"2004","USA","ingoodcompany"
"2002","USA","clockstoppers"
"1985","USA","silverado"
"2009","USA","brothers"
"2004","USA","agentcodybanks2destinationlondon"
"2011","USA","newyearseve"
"2001","USA","originalsin"
"2012","USA","theraven"
"2004","USA","welcometomooseport"
"1994","USA","highlanderthefinaldimension"
