title_year,budget,movie_title,gross
2012,150000000,'Wrath of the Titans',83670083
2007,150000000,'Beowulf',82195215
2012,150000000,'Dark Shadows',79727149
2013,150000000,'White House Down',73103784
2010,150000000,'The Wolfman',62189884
2015,150000000,'Pan',35088320
2011,150000000,'Mars Needs Moms',21392758
2016,150000000,'Passengers',0
2006,149000000,'Flushed Away',64665672
2012,145000000,'Madagascar 3: Europe's Most Wanted',216391482
2011,145000000,'Mission: Impossible\xc3\xa2\xe2\x82\xac\xe2\x80\x9dGhost Protocol',209397903
2014,145000000,'How to Train Your Dragon 2',177002924
1999,145000000,'Tarzan',171091819
2014,145000000,'Mr. Peabody & Sherman',111506430
2012,145000000,'Rise of the Guardians',103412758
2005,145000000,'Sahara',68671925
2016,144000000,'Ghostbusters',118099659
2002,142000000,'Die Another Day',160942139
2009,140000000,'Star Trek',257730019
1998,140000000,'Armageddon',201578182
2002,140000000,'Men in Black 2',190418803
2011,140000000,'Captain America: The First Avenger',176654505
2016,140000000,'Kung Fu Panda 3',143528619
1998,140000000,'Lethal Weapon 4',130444603
2013,140000000,'G.I. Joe: Retaliation',122523060
2003,140000000,'The Last Samurai',111110575
2005,140000000,'Fun With Dick And Jane',110550000
2014,140000000,'Exodus: Gods and Kings',65014513
2016,140000000,'The BFG',52915678
2016,140000000,'Gods of Egypt',31153464
2002,139000000,'Spider-Man',403706375
2009,138000000,'Watchmen',107509799
2005,138000000,'Stealth',32116746
2008,137500000,'The Incredible Hulk',134806913
2003,137000000,'Hulk',132177234
2001,137000000,'Final Fantasy: The Spirits Within',32131830
2012,136200000,'The Twilight Saga: Breaking Dawn, Part 2'',292324737
2012,135000000,'The Croods',187168425
2015,135000000,'The Revenant',183637894
1999,135000000,'The World is Not Enough',126930660
2011,135000000,'Rango',123257581
2003,135000000,'Master and Commander: The Far Side of the World',93926386
2013,135000000,'Turbo',83028130
2016,135000000,'Teenage Mutant Ninja Turtles: Out of the Shadows',81677349
2011,135000000,'Happy Feet Two',64006466
2006,135000000,'Miami Vice',63478838
2005,132000000,'War of the Worlds',234280354
2014,132000000,'Penguins of Madagascar',83350911
2013,130000000,'The Hunger Games: Catching Fire',424668047
2004,130000000,'Harry Potter and the Prisoner of Azkaban',249538952
2007,130000000,'The Bourne Ultimatum',227471070
2008,130000000,'Kung Fu Panda',215434591
2015,130000000,'Ant-Man',180202163
2015,130000000,'Home',177397510
2011,130000000,'Puss in Boots',149260504
2010,130000000,'Megamind',148415853
2003,130000000,'Bad Boys II',138540870
2014,130000000,'Rio 2',131538435
2010,130000000,'Salt',118311368
2014,130000000,'Noah',101200044
2011,130000000,'The Adventures of Tintin',77591831
2013,130000000,'After Earth',60522097
2008,130000000,'Australia',49554002
2013,130000000,'R.I.P.D.',33618855
2011,127500000,'The Twilight Saga: Breaking Dawn, Part 1'',281287133
2000,127500000,'Dinosaur',137748063
2014,127000000,'Night at the Museum: Secret of the Tom',113746621
2011,125000000,'Harry Potter and the Deathly Hallows: Part II',381011219
2014,125000000,'The Hunger Games: Mockingjay - Part 1',337135885
2001,125000000,'Harry Potter and the Sorcerer\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s Stone',317575550
2003,125000000,'Pirates of the Caribbean: The Curse of the Black Pearl',305411224
2010,125000000,'Harry Potter and the Deathly Hallows: Part I',295983305
2006,125000000,'The Da Vinci Code',217536138
2003,125000000,'X2',214949694
2011,125000000,'Fast Five',209837675
2014,125000000,'Teenage Mutant Ninja Turtles',191204754
2011,125000000,'Sherlock Holmes: A Game of Shadows',186848418
2004,125000000,'The Day After Tomorrow',186740799
2010,125000000,'Clash of the Titans',163214888
1998,125000000,'Godzilla',136314294
2012,125000000,'Prometheus',126477084
2012,125000000,'The Bourne Legacy',113203870
1997,125000000,'Batman & Robin',107325195
